ID,Title,Content,SKU,"Product Type",parent_id,"Regular Price"
924,"Product #332 Variation",,,variable,332,80
925,"Product #332 Variation",,,variable,332,80
926,"Product #332 Variation",,,variable,332,80
926,"Product #332 Variation",,,variable,332,80
927,"Product #332 Variation",,,variable,332,80
906,"Product #332 Variation",,,variable,332,80
900,"Product #332 Variation",,,variable,332,80
901,"Product #332 Variation",,,variable,332,80
898,"Product #332 Variation",,,variable,332,80
897,"Product #332 Variation",,,variable,332,80
896,"Product #332 Variation",,,variable,332,80
895,"Product #332 Variation",,,variable,332,80
894,"Product #332 Variation",,,variable,332,80
893,"Product #332 Variation",,,variable,332,80
902,"Product #332 Variation",,,variable,332,80
903,"Product #332 Variation",,,variable,332,80
899,"Product #332 Variation",,,variable,332,80
912,"Product #332 Variation",,,variable,332,80
911,"Product #332 Variation",,,variable,332,80
910,"Product #332 Variation",,,variable,332,80
909,"Product #332 Variation",,,variable,332,80
908,"Product #332 Variation",,,variable,332,80
907,"Product #332 Variation",,,variable,332,80
905,"Product #332 Variation",,,variable,332,80
904,"Product #332 Variation",,,variable,332,80
892,"Product #332 Variation",,,variable,332,80
891,"Product #332 Variation",,,variable,332,80
890,"Product #332 Variation",,,variable,332,80
889,"Product #332 Variation",,,variable,332,80
565,Hibiscus,,,simple,0,120
455,"Product #346 Variation",,,variable,346,
456,"Product #346 Variation",,,variable,346,
457,"Product #346 Variation",,,variable,346,
458,"Product #346 Variation",,,variable,346,
459,"Product #346 Variation",,,variable,346,
460,"Variation n&deg;460 sur The DH Rocket complete",,,variable,346,6
462,"Product #346 Variation",,,variable,346,
461,"Variation n&deg;461 sur The DH Rocket complete",,,variable,346,7
425,"Variation n&deg;425 sur The Shred complete",,,variable,218,230
426,"Variation n&deg;426 sur The Shred complete",,,variable,218,230
424,"Variation n&deg;424 sur The Shred complete",,,variable,218,230
352,"Variation n&deg;352 sur The DH Missile complete (Copier)",,,variable,346,350
348,"Variation n&deg;348 sur The DH Missile complete (Copier)",,,variable,346,3500
347,"Variation n&deg;347 sur The DH Missile complete (Copier)",,,variable,346,350
349,"Variation n&deg;349 sur The DH Missile complete (Copier)",,,variable,346,350
351,"Variation n&deg;351 sur The DH Missile complete (Copier)",,,variable,346,350
350,"Variation n&deg;350 sur The DH Missile complete (Copier)",,,variable,346,350
340,"Variation n&deg;340 sur The Freeride complete (Copier)",,,variable,339,350
341,"Variation n&deg;341 sur The Freeride complete (Copier)",,,variable,339,3500
342,"Variation n&deg;342 sur The Freeride complete (Copier)",,,variable,339,350
343,"Variation n&deg;343 sur The Freeride complete (Copier)",,,variable,339,350
345,"Variation n&deg;345 sur The Freeride complete (Copier)",,,variable,339,350
344,"Variation n&deg;344 sur The Freeride complete (Copier)",,,variable,339,350
326,"Variation n&deg;326 sur The Tricks complete (Copier)",,,variable,325,350
327,"Variation n&deg;327 sur The Tricks complete (Copier)",,,variable,325,350
328,"Variation n&deg;328 sur The Tricks complete (Copier)",,,variable,325,350
329,"Variation n&deg;329 sur The Tricks complete (Copier)",,,variable,325,350
330,"Variation n&deg;330 sur The Tricks complete (Copier)",,,variable,325,3500
331,"Variation n&deg;331 sur The Tricks complete (Copier)",,,variable,325,350
319,"Variation n&deg;319 sur The shred complete (Copier)",,,variable,318,350
324,"Variation n&deg;324 sur The shred complete (Copier)",,,variable,318,350
320,"Variation n&deg;320 sur The shred complete (Copier)",,,variable,318,350
321,"Variation n&deg;321 sur The shred complete (Copier)",,,variable,318,350
323,"Variation n&deg;323 sur The shred complete (Copier)",,,variable,318,3500
322,"Variation n&deg;322 sur The shred complete (Copier)",,,variable,318,350
293,"Product #288 Variation",,,variable,288,
292,"Product #288 Variation",,,variable,288,
291,"Product #288 Variation",,,variable,288,
290,"Product #288 Variation",,,variable,288,
289,"Product #288 Variation",,,variable,288,
294,"Product #288 Variation",,,variable,288,
273,"Variation n&deg;273 sur The shred complete (Copier)",,,variable,272,350
274,"Variation n&deg;274 sur The shred complete (Copier)",,,variable,272,350
275,"Variation n&deg;275 sur The shred complete (Copier)",,,variable,272,350
276,"Variation n&deg;276 sur The shred complete (Copier)",,,variable,272,350
277,"Variation n&deg;277 sur The shred complete (Copier)",,,variable,272,3500
278,"Variation n&deg;278 sur The shred complete (Copier)",,,variable,272,350
221,"Variation n&deg;221 sur The shred complete",,,variable,218,350
220,"Variation n&deg;220 sur The shred complete",,,variable,218,350
222,"Variation n&deg;222 sur The shred complete",,,variable,218,350
223,"Variation n&deg;223 sur The shred complete",,,variable,218,350
225,"Variation n&deg;225 sur The shred complete",,,variable,218,350
224,"Variation n&deg;224 sur The shred complete",,,variable,218,3500
1067,"Variation #1067 of Hibiscus complete",,,variable,332,80
1066,"Variation #1066 of Hibiscus complete",,,variable,332,80
564,Alaia,,,simple,0,120
563,"MARBLE 40",,,simple,0,190
562,"MARBLE 38",,,simple,0,190
561,"ROCKET V2",,,simple,0,200
560,JIG,,,simple,0,200
559,AB,,,simple,0,200
558,"Morning Wood",,,simple,0,150
555,Cruise,,,simple,0,140
554,Choka,,554,simple,0,120
332,"Hibiscus complete",,,variable,0,
566,Shred,,,simple,0,150
