id,Title,Content,SKU,"Product Type","Parent Product ID",Test,Trucks,Wheels,"Product Attributes","Regular Price"
1010,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 165mm 43° RKP","Kilmer 83a",,80
1011,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Red 180mm 50° RKP","Kilmer 83a",,80
1009,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 43° RKP","Kilmer 83a",,80
1006,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal grey 165mm 50° RKP","Kilmer 83a",,80
1007,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 165mm 43° RKP","Kilmer 83a",,80
1008,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 50° RKP","Kilmer 83a",,80
1004,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 50° RKP","Kilmer 83a",,80
1003,"Hibiscus complete",,,variable,332,,"Paris Trucks Tiffany White 180mm 50° RKP","Kilmer 83a",,80
1001,"Hibiscus complete",,,variable,332,,"Paris Street Trucks RAW 169mm TKP","Onsen 100a",,80
1000,"Hibiscus complete",,,variable,332,,"Paris Trucks Black 150mm 50° RKP","Onsen 100a",,80
1002,"Hibiscus complete",,,variable,332,,"Paris Trucks White 180mm 43° RKP","Kilmer 83a",,80
1005,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 43° RKP","Kilmer 83a",,80
993,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 43° RKP","Onsen 100a",,80
994,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 165mm 43° RKP","Onsen 100a",,80
995,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Red 180mm 50° RKP","Onsen 100a",,80
996,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Blue 180mm 50° RKP","Onsen 100a",,80
997,"Hibiscus complete",,,variable,332,,"Paris Trucks Matte Black 180mm 50° RKP","Onsen 100a",,80
998,"Hibiscus complete",,,variable,332,,"Paris Trucks Matt Kienzle Signature 180mm 50° RKP","Onsen 100a",,80
999,"Hibiscus complete",,,variable,332,,"Paris Trucks Gold 180mm 43° RKP","Onsen 100a",,80
